"Month,""Monthly production of chocolate confectionery in Australia: tonnes. July 1957 ? Aug 1995""",
Jul-57,2953
Aug-57,2635
Sep-57,2404
Oct-57,2413
Nov-57,2136
Dec-57,1565
Jan-58,1451
Feb-58,2037
Mar-58,2477
Apr-58,2785
May-58,2994
Jun-58,2681
Jul-58,3098
Aug-58,2708
Sep-58,2517
Oct-58,2445
Nov-58,2087
Dec-58,1801
Jan-59,1216
Feb-59,2173
Mar-59,2286
Apr-59,3121
May-59,3458
Jun-59,3511
Jul-59,3524
Aug-59,2767
Sep-59,2744
Oct-59,2603
Nov-59,2527
Dec-59,1846
Jan-60,1066
Feb-60,2327
Mar-60,3066
Apr-60,3048
May-60,3806
Jun-60,4042
Jul-60,3583
Aug-60,3438
Sep-60,2957
Oct-60,2885
Nov-60,2744
Dec-60,1837
Jan-61,1447
Feb-61,2504
Mar-61,3248
Apr-61,3098
May-61,4318
Jun-61,3561
Jul-61,3316
Aug-61,3379
Sep-61,2717
Oct-61,2354
Nov-61,2445
Dec-61,1542
Jan-62,1606
Feb-62,2590
Mar-62,3588
Apr-62,3202
May-62,4704
Jun-62,4005
Jul-62,3810
Aug-62,3488
Sep-62,2781
Oct-62,2944
Nov-62,2817
Dec-62,1960
Jan-63,1937
Feb-63,2903
Mar-63,3357
Apr-63,3552
May-63,4581
Jun-63,3905
Jul-63,4581
Aug-63,4037
Sep-63,3345
Oct-63,3175
Nov-63,2808
Dec-63,2050
Jan-64,1719
Feb-64,3143
Mar-64,3756
Apr-64,4776
May-64,4540
Jun-64,4309
Jul-64,4563
Aug-64,3506
Sep-64,3665
Oct-64,3361
Nov-64,3094
Dec-64,2440
Jan-65,1633
Feb-65,2935
Mar-65,4159
Apr-65,4159
May-65,4894
Jun-65,4921
Jul-65,4577
Aug-65,4155
Sep-65,3851
Oct-65,3429
Nov-65,3370
Dec-65,2726
Jan-66,1674
Feb-66,3257
Mar-66,4731
Apr-66,4481
May-66,5443
Jun-66,5566
Jul-66,5044
Aug-66,4781
Sep-66,4014
Oct-66,3561
Nov-66,3801
Dec-66,2685
Jan-67,1805
Feb-67,3756
Mar-67,4227
Apr-67,4595
May-67,5702
Jun-67,4681
Jul-67,4395
Aug-67,4459
Sep-67,4191
Oct-67,3742
Nov-67,3279
Dec-67,2468
Jan-68,1742
Feb-68,3366
Mar-68,3633
Apr-68,3701
May-68,4926
Jun-68,4522
Jul-68,5275
Aug-68,4717
Sep-68,4114
Oct-68,3851
Nov-68,3493
Dec-68,2654
Jan-69,2168
Feb-69,3561
Mar-69,4305
Apr-69,4413
May-69,5307
Jun-69,5361
Jul-69,4948
Aug-69,4472
Sep-69,3846
Oct-69,3715
Nov-69,3343
Dec-69,2939
Jan-70,1615
Feb-70,3497
Mar-70,3915
Apr-70,4858
May-70,4962
Jun-70,4504
Jul-70,4767
Aug-70,4291
Sep-70,4091
Oct-70,4164
Nov-70,3915
Dec-70,3130
Jan-71,1696
Feb-71,3887
Mar-71,4749
Apr-71,4781
May-71,5089
Jun-71,5484
Jul-71,5072
Aug-71,4611
Sep-71,4117
Oct-71,3910
Nov-71,4252
Dec-71,3624
Jan-72,1678
